account_id,full_name,email,opened_at,country_code,kyc_status
ACC-000001,Jonathan Thomas,msmith@example.net,2024-06-30,AU,
ACC-000002,Timothy Henderson,yhayes@example.com,2023-11-15,SG,verified
ACC-000003,Julie Martin,bcurtis@example.com,2026-03-28,NZ,verified
ACC-000004,Morgan Jones,fmitchell@example.net,2024-01-07,AU,verified
ACC-000005,Betty Smith,michael13@example.net,2023-07-14,AU,verified
ACC-000006,Kristen Robertson,marshjerry@example.net,2026-02-02,NZ,verified
ACC-000007,Dana Lee,jamie43@example.net,2025-12-14,NZ,
ACC-000008,Kirsten Lee,schultzdylan@example.com,2025-07-12,AU,verified
ACC-000009,Bryan Huang,uphillips@example.com,2026-04-15,AU,verified
ACC-000010,Jessica Price,martha43@example.org,2024-02-02,AU,verified
ACC-000011,Christina Jones,handerson@example.net,2023-12-14,AU,
ACC-000012,Anthony Morgan,jilltaylor@example.org,2024-07-21,AU,
ACC-000013,Mr. Timothy Nguyen,barbara91@example.com,2025-10-10,AU,
ACC-000014,Monica Hendricks,tfoster@example.com,2025-06-23,SG,verified
ACC-000015,James Miller,htorres@example.com,2025-10-29,AU,verified
ACC-000016,Timothy Brewer,rpratt@example.net,2023-07-11,AU,verified
ACC-000017,Kathy Maxwell MD,jkelly@example.org,2024-03-11,AU,verified
ACC-000018,Sharon Aguirre,christian93@example.com,2024-09-16,AU,verified
ACC-000019,Christopher Jones,lisa66@example.net,2023-12-01,AU,pending
ACC-000020,Meghan Sloan,kathleenrivera@example.net,2023-10-21,AU,verified
ACC-000021,Stephanie Butler,rmiller@example.com,2024-09-30,AU,verified
ACC-000022,Mr. Richard Clark,halltaylor@example.net,2023-12-29,NZ,verified
ACC-000023,Sean Cruz,jose43@example.org,2025-05-30,AU,verified
ACC-000024,Mr. Billy Lane,lunamichael@example.com,2026-05-07,AU,
ACC-000025,James Gibbs,john90@example.com,2023-06-19,AU,verified
ACC-000026,John Roberts,igonzalez@example.org,2023-11-01,AU,verified
ACC-000027,Derrick Novak,johnclark@example.org,2025-03-19,AU,
ACC-000028,Timothy Powell,dguzman@example.org,2026-01-14,AU,verified
ACC-000029,Kevin Woods,lestrada@example.net,2023-07-12,AU,verified
ACC-000030,Steven Andrews,sherrithompson@example.org,2026-04-23,SG,verified
ACC-000031,Tony Garcia,yfaulkner@example.org,2025-07-09,SG,
ACC-000032,Barbara Perez,ujones@example.net,2023-12-14,AU,verified
ACC-000033,Anita Whitaker,johnbarrett@example.org,2024-03-21,NZ,verified
ACC-000034,Antonio Gonzalez,isanchez@example.com,2023-12-02,AU,verified
ACC-000035,Joseph Wilson,mooreshannon@example.org,2025-12-26,AU,verified
ACC-000036,Paula Barrett,dominique95@example.org,2025-09-29,NZ,verified
ACC-000037,Patricia Garcia,adamsangela@example.org,2024-03-17,NZ,verified
ACC-000038,Gregory Johnson,millskevin@example.org,2025-11-14,NZ,pending
ACC-000039,Sierra Hawkins,thomascrosby@example.com,2023-10-12,AU,
ACC-000040,Dave Hayes,jameswatson@example.org,2023-07-22,AU,verified
ACC-000041,Daniel Barry,jasmine30@example.net,2023-08-07,AU,verified
ACC-000042,Robert Anderson,amber38@example.net,2025-06-18,AU,pending
ACC-000043,Michael Atkins Jr.,pgraham@example.org,2024-02-17,AU,verified
ACC-000044,Tony Johnson,adam65@example.org,2025-04-09,AU,verified
ACC-000045,Barbara Simon,carrillokatherine@example.org,2024-04-10,AU,verified
ACC-000046,Tammy Reed,williamsjason@example.net,2025-08-18,AU,verified
ACC-000047,Melissa Hernandez,copelandanthony@example.org,2026-05-10,AU,verified
